app_slug,app_name,bundle_id,app_version,app_build,external_version_id,rn_guess,rn_evidence_class,component,member,bytes,compressed_bytes,compressed_pct_uncompressed,pct_main_app_uncompressed,pct_main_app_compressed,pct_source_ipa,pct_dump_ipa,context_only,dump_report,dump_ipa
mattermost,Mattermost,com.mattermost.rn,2.40.0,749,885697976,0.77.x,versioned_rn,js_bundle,Payload/Mattermost.app/main.jsbundle,29830115,11317740,37.94,36.89,25.79,18.30,21.36,false,tmp/ios-dumps/com.mattermost.rn_2.40.0_749_frida-ipa-extract.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.mattermost.rn_2.40.0_749_frida-ipa-extract.ipa
mattermost,Mattermost,com.mattermost.rn,2.40.0,749,885697976,0.77.x,versioned_rn,named_native_runtime,Payload/Mattermost.app/Frameworks/hermes.framework/hermes,4701776,2537450,53.97,5.82,5.78,4.10,4.79,false,tmp/ios-dumps/com.mattermost.rn_2.40.0_749_frida-ipa-extract.ipa.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/com.mattermost.rn_2.40.0_749_frida-ipa-extract.ipa
skype,Skype,com.skype.skype,8.150.3125,8.150.0.125,874426597,0.71.x,versioned_rn,js_bundle,Payload/Skype4Life.app/main.jsbundle,31609519,11913437,37.69,18.03,16.21,9.29,14.82,false,tmp/ios-dumps/skype_8.150.3125_8.150.0.125_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.150.3125_8.150.0.125_frida-all.ipa
skype,Skype,com.skype.skype,8.150.3125,8.150.0.125,874426597,0.71.x,versioned_rn,named_native_runtime,Payload/Skype4Life.app/Frameworks/hermes.framework/hermes,4522160,1252748,27.70,2.58,1.70,0.98,1.56,false,tmp/ios-dumps/skype_8.150.3125_8.150.0.125_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.150.3125_8.150.0.125_frida-all.ipa
skype,Skype,com.skype.skype,8.150.3125,8.150.0.125,874426597,0.71.x,versioned_rn,rn_carrier_macho,Payload/Skype4Life.app/Frameworks/hermes.framework/hermes,4522160,1252748,27.70,2.58,1.70,0.98,1.56,true,tmp/ios-dumps/skype_8.150.3125_8.150.0.125_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.150.3125_8.150.0.125_frida-all.ipa
skype,Skype,com.skype.skype,8.150.3125,8.150.0.125,874426597,0.71.x,versioned_rn,rn_carrier_macho,Payload/Skype4Life.app/Skype4Life,63492160,26121725,41.14,36.21,35.54,20.36,32.50,true,tmp/ios-dumps/skype_8.150.3125_8.150.0.125_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.150.3125_8.150.0.125_frida-all.ipa
skype,Skype,com.skype.skype,8.79.92,8.79.0.92,845553986,0.63.x,versioned_rn,js_bundle,Payload/Skype4Life.app/main.jsbundle,19132235,3913711,20.46,15.01,9.34,5.57,8.45,false,tmp/ios-dumps/skype_8.79.92_8.79.0.92_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.79.92_8.79.0.92_frida-all.ipa
skype,Skype,com.skype.skype,8.79.92,8.79.0.92,845553986,0.63.x,versioned_rn,rn_carrier_macho,Payload/Skype4Life.app/Skype4Life,69287136,22896852,33.05,54.37,54.67,32.58,49.41,true,tmp/ios-dumps/skype_8.79.92_8.79.0.92_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.79.92_8.79.0.92_frida-all.ipa
skype,Skype,com.skype.skype,8.97.3203,8.97.0.203,856630693,0.71.x,versioned_rn,js_bundle,Payload/Skype4Life.app/main.jsbundle,21448289,4435934,20.68,21.32,12.14,6.55,10.30,false,tmp/ios-dumps/skype_8.97.3203_8.97.0.203_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.97.3203_8.97.0.203_frida-all.ipa
skype,Skype,com.skype.skype,8.97.3203,8.97.0.203,856630693,0.71.x,versioned_rn,rn_carrier_macho,Payload/Skype4Life.app/Skype4Life,47681152,19892570,41.72,47.39,54.45,29.37,46.20,true,tmp/ios-dumps/skype_8.97.3203_8.97.0.203_frida-all.json,/Users/mike/src/tries/2026-05-25-rn/tmp/ios-dumps/skype_8.97.3203_8.97.0.203_frida-all.ipa
